2453249.25552	-55.9	4.7
2453333.01997	-11.6	3.7
2453579.26965	-57.7	4.3
2453636.2169	-69.4	6.4
2453660.13539	-62.8	4.1
2453693.98447	-30.2	3.8
2453728.95697	-4.8	8.1
2453730.93188	-14.4	4.3
2453744.94607	-3.3	4.1
2453963.26781	-64.7	3.8
2454018.11973	-37.6	3.8
2454049.02581	-17.8	4.4
2454088.93606	-8.3	3.3
2454114.88858	3	6.2
2454305.29326	-47.9	3.8
2454338.23288	-38.5	4.4
2454380.15468	-22.6	4.1
2454416.02081	-18.8	4.8
2454460.93793	24.1	3
2454495.89851	33.7	9.5
2454496.9037	46	4.9
2454703.25119	-38	3.6
2454756.10553	-7.5	3.5
2454796.00048	23.5	3.8
2454817.94637	31.3	3.5
2455101.16674	-5.9	4
2455108.20638	2.7	4.6
2455133.10162	11.9	3.8
2455137.09148	2.9	4.1
2455161.03266	32.6	3.7
2455162.00982	34	2.8
2455183.92889	42	3.6
2455203.89392	46.3	3.5
2455233.90048	68.5	5.8
2455399.2893	-13.2	3.7
2455438.17586	-22	4.4
2455444.2132	-29.9	3.5
2455468.16146	0.7	5
2455480.13068	13.1	4.3
2455503.0269	28.3	3.9
2455510.06421	22.8	3.7
2455524.97523	39.5	3.4
2455546.92022	41.9	3.6
2455579.9172	53.6	6
2455787.29129	-14.6	4.8
2455877.01304	6.5	3.5
2455919.93294	29.2	4
2455937.88506	41.8	3.4
